subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,0.53,F,Oct
high,flip_twice_1,Pos,0.74,F,Oct
high,fact_exn,Pos,0.15,T,Oct
high,inc,Pos,0.66,T,Oct
high,intro3,Pos,0.07,T,Oct
high,neg1,Pos,0.09,F,Oct
high,repeat_order,Pos,0.19,F,Oct
high,intro-ord2,Pos,0.43,T,Oct
high,foldr,Pos,1.66,F,Oct
high,sum_cps,Pos,0.2,T,Oct
high,sigma_sum,Pos,0.13,F,Oct
high,apply_twice,Pos,0.06,F,Oct
high,intro-ord3,Pos,1.47,T,Oct
high,intro2,Pos,0.05,T,Oct
high,repeat4,Pos,0.12,F,Oct
high,hors,Pos,0.21,T,Oct
high,repeat,Pos,0.19,F,Oct
high,intro1,Pos,0.05,T,Oct
high,app-lin-ord3,Pos,0.37,F,Oct
high,foldl,Pos,0.72,F,Oct
high,hrec,Pos,0.11,T,Oct
high,app-nonrec,Pos,0.06,T,Oct
high,app-lin-ord2,Pos,0.12,F,Oct
high,max,Pos,0.39,F,Oct
high,apply,Pos,0.25,T,Oct
high,twice,Pos,0.06,T,Oct
high,neg2,Pos,0.09,F,Oct
high,exception,Pos,0.06,T,Oct
high,power,Pos,0.58,T,Oct
high,mixed_id,Pos,0.05,T,Oct
high,app-succ,Pos,0.82,T,Oct
high,call_back,Pos,0.06,F,Oct
high,flip_twice_2,Pos,0.18,F,Oct
high,exc-fact,Pos,0.17,T,Oct
high,multi_compose,Pos,0.26,F,Oct
high,recursive,Pos,0.12,T,Oct
high,mc91_cps,Pos,0.25,F,Oct
high,exc-simple,Pos,0.06,T,Oct
array,a-copy-print,Pos,0.45,ER,Oct
array,array_init,Pos,0.19,ER,Oct
array,bcopy,Pos,0.7,ER,Oct
array,a-dotprod,Pos,0.53,ER,Oct
array,a-init,Pos,0.3,ER,Oct
first,inductive6-2,Pos,0.05,T,Oct
first,mc91_99,Pos,0.05,F,Oct
first,enc-rev_append-2,Pos,0.16,F,Oct
first,gib2,Pos,0.58,T,Oct
first,enc-zip3,Pos,0.1,F,Oct
first,substring2,Pos,0.82,T,Oct
first,mult,Pos,0.09,F,Oct
first,sum4,Pos,0.04,F,Oct
first,fxx,Pos,0.03,T,Oct
first,map,Pos,0.05,F,Oct
first,enc-zipmap,Pos,0.18,F,Oct
first,lcm,Pos,0.55,F,Oct
first,mc91_98,Pos,0.05,F,Oct
first,enc-zip_map2,Pos,0.22,F,Oct
first,inductive6,Pos,0.04,T,Oct
first,copy_intro,Pos,0.04,F,Oct
first,pldi082_unbounded1,Pos,0.59,F,Oct
first,flow,Pos,0.02,T,Oct
first,inductive2,Pos,0.03,T,Oct
first,inductive1-3,Pos,0.1,T,Oct
first,inductive3,Pos,0.03,T,Oct
first,enc-zip_map,Pos,0.22,F,Oct
first,inductive1-2,Pos,0.14,F,Oct
first,gulwani_cegar1,Pos,0.79,T,Oct
first,xyz2,Pos,1.08,F,Oct
first,xy10,Pos,0.21,T,Oct
first,01_ic3,Pos,0.16,T,Oct
first,sum,Pos,0.04,F,Oct
first,up_down_stair,Pos,1.22,F,Oct
first,up2,Pos,0.83,F,Oct
first,inductive1-1,Pos,0.11,T,Oct
first,mc91_95,Pos,0.05,F,Oct
first,inductive4,Pos,0.09,F,Oct
first,lock,Pos,0.19,F,Oct
first,mc91,Pos,0.06,F,Oct
first,xyz,Pos,1.1,F,Oct
first,enc-rev_accum,Pos,0.1,F,Oct
first,inductive5,Pos,0.09,F,Oct
first,seq-len,Pos,3.07,F,Oct
first,inductive3-2,Pos,0.04,T,Oct
first,pldi082_unbounded2,Pos,0.2,T,Oct
first,file,Pos,10.36,T,Oct
first,xy4,Pos,0.27,F,Oct
first,sum_intro,Pos,0.1,F,Oct
first,map_map,Pos,0.05,T,Oct
first,xy0,Pos,0.19,T,Oct
first,prog2,Pos,0.1,T,Oct
first,sum3,Pos,0.04,F,Oct
first,fib,Pos,0.04,F,Oct
first,svd,Pos,20.61,T,Oct
first,ack,Pos,0.27,F,Oct
first,enc-zip,Pos,0.12,F,Oct
first,gcd,Pos,0.31,F,Oct
first,enc-zip4,Pos,0.14,F,Oct
first,recHanoi03,Pos,0.05,F,Oct
first,enc-rev_append-1,Pos,0.14,F,Oct
first,sum2,Pos,0.04,F,Oct
first,gib,Pos,0.56,T,Oct
first,seq-len1,Pos,6.13,T,Oct
first,substring1,Pos,0.73,T,Oct
negative,zip00,Neg,13.47,T,Oct
negative,indirectHO01,Neg,23.32,T,Oct
negative,xyz2,Neg,1.14,F,Oct
negative,xy10,Neg,0.24,T,Oct
negative,01_ic3,Neg,0.18,F,Oct
negative,ex23,Neg,0.16,T,Oct
negative,inductive1-1,Neg,0.1,T,Oct
negative,repeat,Neg,0.08,T,Oct
negative,xyz,Neg,1.01,F,Oct
negative,zip_unzip,Neg,0.12,T,Oct
negative,xy4,Neg,0.2,T,Oct
negative,Ackermann00,Neg,14.13,T,Oct
negative,compose,Neg,0.07,T,Oct
negative,up_down01,Neg,10.77,F,Oct
negative,binomial00,Neg,2.25,T,Oct
